Section,Variant #,Angle,Primary Copy,Paired Headline,Source / Pattern,Client Status,Client Notes
Primary Copy,V1,Question hook + texture bullet list,"Where does softness live in your home?
• Across the back of the sofa, ready for slow mornings
• On the reading chair when the windows are open
• At the foot of the bed for warmer-weather afternoons
• In a window seat where the light pools

Our sheepskin cushions bring natural texture to all of them. Real New Zealand sheepskin, handcrafted in England.

Complimentary sheepskin cushion on all orders over £150.",Complimentary Sheepskin Cushion. Orders Over £150.,Ad 215 winner (ROAS 8.33),,
Primary Copy,V2,"Smallest-details hook, texture-led","Ever noticed how the smallest details bring a whole room to life?

Our sheepskin cushions add texture, softness and that quiet hygge feeling to any sofa, chair or bed. The kind of finishing touch that makes a space feel considered.

Beautifully soft. Endlessly tactile. Naturally luxurious.

Complimentary on every order over £150.",The Softness Your Sofa Has Been Missing,Ad 210 winner (ROAS 8.29),,
Primary Copy,V3,Spring softness lead,"Spring calls for softer textures.

A natural sheepskin cushion brings instant softness to the sofa, layers gentle texture into a reading chair and turns the bed into somewhere you don't want to leave on a slow morning. Real New Zealand sheepskin. Handcrafted in England.

Complimentary on every order over £150.",A Softer Spring. Complimentary Over £150.,"New angle, season-specific",,
Primary Copy,V4,"Real review (Penny W., 5★)","""Even more beautiful than I expected and incredibly soft. I bought 4 for our sofa and they are a stunning addition to our sitting room."" ⭐⭐⭐⭐⭐ Penny W.

That's what real sheepskin does. Natural texture, gentle softness and that unmistakable feeling of hygge in every season. Available in a curated range of natural tones.

Complimentary with any order over £150.",A Complimentary Cushion. Orders Over £150.,Ad 191 winner (ROAS 5.30) + verified Stamped review,,
Primary Copy,V5,Hygge year-round / Season of Soft,"Hygge isn't just for winter.

It's the feeling of bare feet on natural fibres in the morning. Of lingering on the sofa long after dinner. Of textures that bring softness and calm to your home through every season.

Our sheepskin cushions are complimentary on orders over £150. While stocks last.","Hygge, In Every Season.",Ad 172 winner (ROAS 4.92),,
Primary Copy,V6,Colour story,"The shade that makes everything else feel softer.

Our sheepskin cushions come in a curated range of natural tones. Cream that brightens a room. Mocha that grounds it. Warm grey that quietly ties it all together. Each one tanned in small sustainable batches and handcrafted in England.

Complimentary on orders over £150. Pick yours at checkout.",A Cushion In Every Natural Tone.,Ad 220 winner (ROAS 5.91),,
Primary Copy,V7,Stack-the-room (cross-sell),"A sheepskin rug at the foot of the bed.
A seat pad on every dining chair.
A sheepskin cushion on the sofa where everyone gathers.

That's a home that feels considered. Soft. Yours.

Add £150 to your cart and the sheepskin cushion is complimentary.",The Layer That Pulls A Room Together.,"New angle, leverages full collection",,
Primary Copy,V8,Direct offer + craft anchor,"Spend over £150 and your sheepskin cushion is complimentary.

A natural texture that softens a sofa, layers a chair and finishes a bed beautifully. Real New Zealand sheepskin, handcrafted in England. Available in a curated range of natural tones.

A piece you keep for years.",A Complimentary Cushion. Orders £150+.,"Offer-led, craft anchor",,
Primary Copy,V9,Short + punchy texture,"The softest cushion you'll ever sit against.

Real sheepskin. Handcrafted in England. Available in a curated range of natural tones. Complimentary on every order over £150.",Your Complimentary Sheepskin Cushion.,Ad 1 winner (ROAS 9.54),,
Primary Copy,V10,Editorial / styling-led,"A sheepskin cushion isn't a finishing touch. It's the touch.

Soft enough to nap against. Textured enough to anchor a sofa. Light enough to keep through spring and summer. The kind of natural softness that quietly transforms a room.

Complimentary with every order over £150 this month.",The Detail That Quietly Transforms A Room.,"New angle, editorial tone",,
Primary Copy,V11,Sensory three-line open,"Soft. Natural. Quietly transformative.

Our sheepskin cushions bring real texture and gentle softness to any room in the house. From the sofa to the bed to the chair you always end up in. Available in a range of natural tones.

Complimentary on orders over £150. While stocks last.",Soft. Natural. Complimentary.,Ad 205 close pattern,,
Primary Copy,V12,"Real review (Sophie J., 5★)","""Quality is exceptional and I love the fact that they are all natural fibres. No mass produced synthetic rubbish, just beautiful natural pieces for your home."" ⭐⭐⭐⭐⭐ Sophie J.

Real New Zealand sheepskin. Handcrafted in England. The kind of softness you feel for years.

Complimentary with every order over £150.",A Complimentary Cushion While Stocks Last.,Ad 191/172/205 review pattern + verified Stamped review,,

Section,Headline #,Headline,,,Notes,Client Status,Client Notes
Headline,H1,Complimentary Sheepskin Cushion. Orders Over £150.,,,Offer-led / product-led mix,,
Headline,H2,A Complimentary Cushion. Orders Over £150.,,,Offer-led / product-led mix,,
Headline,H3,A Complimentary Cushion. Orders £150+.,,,Offer-led / product-led mix,,
Headline,H4,The Softness Your Sofa Has Been Missing,,,Offer-led / product-led mix,,
Headline,H5,"Hygge, In Every Season.",,,Offer-led / product-led mix,,
Headline,H6,A Softer Spring. Complimentary Over £150.,,,Offer-led / product-led mix,,
Headline,H7,The Layer That Pulls A Room Together.,,,Offer-led / product-led mix,,
Headline,H8,Soft. Natural. Complimentary.,,,Offer-led / product-led mix,,
Headline,H9,A Cushion In Every Natural Tone.,,,Offer-led / product-led mix,,
Headline,H10,The Detail That Quietly Transforms A Room.,,,Offer-led / product-led mix,,
Headline,H11,Your Complimentary Sheepskin Cushion.,,,Offer-led / product-led mix,,
Headline,H12,A Complimentary Cushion While Stocks Last.,,,Offer-led / product-led mix,,

Section,Alt #,Headline,,,Notes,Client Status,Client Notes
Headline Alt,A1,The Home Of Hygge,,,Use with product-led bodies (no offer in headline),,
Headline Alt,A2,Beautifully Soft. Endlessly Tactile.,,,Use with product-led bodies (no offer in headline),,
Headline Alt,A3,"Sheepskin Cushions, Handcrafted In England",,,Use with product-led bodies (no offer in headline),,
Headline Alt,A4,Natural Texture. Natural Softness.,,,Use with product-led bodies (no offer in headline),,
